"ID";"Jugador";"Pais";"Equipo";"Posicion";"Edad";"Nacimiento";"Partidos_jugados";"Partidos_titular";"Minutos_totales";"X90s";"Tarjetas_amarillas";"Tarjetas_rojas";"Segundas_tarjetas_amarillas";"Faltas_comprometidas";"Faltas_pitadas";"Fuera_de_juego"
104;"João Cancelo";"DE";"Bayern Munich";"DF";28;1994;4;2;123;"1,37";1;0;0;1;1;0
133;"Kingsley Coman";"DE";"Bayern Munich";"FW,DF";26;1996;7;7;533;"5,92";0;0;0;1;12;2
153;"Alphonso Davies";"DE";"Bayern Munich";"DF";21;2000;9;6;602;"6,69";1;0;0;4;4;1
237;"Serge Gnabry";"DE";"Bayern Munich";"FW,MF";27;1995;8;3;343;"3,81";0;0;0;4;0;5
245;"Leon Goretzka";"DE";"Bayern Munich";"MF";27;1995;9;7;606;"6,73";1;0;0;12;0;0
250;"Ryan Gravenberch";"DE";"Bayern Munich";"MF";20;2002;6;2;254;"2,82";0;0;0;7;3;0
285;"Lucas Hernández";"DE";"Bayern Munich";"DF";26;1996;2;2;173;"1,92";0;0;0;1;3;0
334;"Joshua Kimmich";"DE";"Bayern Munich";"MF";27;1995;9;9;810;"9,00";3;0;0;8;17;0
379;"Matthijs de Ligt";"DE";"Bayern Munich";"DF";22;1999;7;7;614;"6,82";1;0;0;8;4;0
402;"Sadio Mané";"DE";"Bayern Munich";"FW";30;1992;9;6;552;"6,13";0;0;0;11;9;9
420;"Eric Maxim Choupo-Moting";"DE";"Bayern Munich";"FW";33;1989;7;5;435;"4,83";0;0;0;4;4;5
421;"Noussair Mazraoui";"DE";"Bayern Munich";"DF";24;1997;5;4;392;"4,36";2;0;0;10;3;0
472;"Thomas Müller";"DE";"Bayern Munich";"MF,FW";32;1989;8;4;367;"4,08";0;0;0;6;3;2
474;"Jamal Musiala";"DE";"Bayern Munich";"MF,FW";19;2003;9;7;528;"5,87";0;0;0;6;9;0
483;"Manuel Neuer";"DE";"Bayern Munich";"GK";36;1986;3;3;270;"3,00";0;0;0;0;1;0
520;"Benjamin Pavard";"DE";"Bayern Munich";"DF";26;1996;9;7;592;"6,58";4;1;1;15;6;0
581;"Marcel Sabitzer";"DE";"Bayern Munich";"MF";28;1994;6;3;280;"3,11";3;0;0;5;8;0
592;"Leroy Sané";"DE";"Bayern Munich";"FW,MF";26;1996;8;7;552;"6,13";0;0;0;4;2;1
624;"Yann Sommer";"DE";"Bayern Munich";"GK";33;1988;4;4;360;"4,00";0;0;0;0;1;0
633;"Josip Stanišić";"DE";"Bayern Munich";"DF";22;2000;8;3;349;"3,88";2;0;0;6;2;0
663;"Mathys Tel";"DE";"Bayern Munich";"FW";17;2005;5;0;145;"1,61";0;0;0;0;1;1
685;"Sven Ulreich";"DE";"Bayern Munich";"GK";33;1988;3;3;270;"3,00";0;0;0;0;0;0
687;"Dayot Upamecano";"DE";"Bayern Munich";"DF";23;1998;10;9;713;"7,92";2;0;0;7;1;0
705;"Paul Wanner";"DE";"Bayern Munich";"DF,FW";16;2005;2;0;36;"0,40";0;0;0;1;0;0
